"filename", "language", "Python", "pip requirements", "CSV", "comment", "blank", "total"
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0010_rename_describe_sourcedata_description.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0011_alter_sourcedata_min_page.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0012_sourcedata_key_words.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0013_product_key_words.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0014_remove_product_key_words.py", "Python", 11, 0, 0, 1, 6, 18
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0015_product_key_words.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0016_remove_sourcedata_key_words.py", "Python", 11, 0, 0, 1, 6, 18
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0017_sourcedata_key_words.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0018_image_embedding_vector.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0019_remove_sourcedata_key_words_and_more.py", "Python", 23, 0, 0, 1, 6, 30
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0020_remove_product_key_words_product_source_description.py", "Python", 16, 0, 0, 1, 6, 23
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0021_sourcedata_crawled.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0022_remove_sourcedata_crawled.py", "Python", 11, 0, 0, 1, 6, 18
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0023_sourcedata_crawled.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0024_product_crawled.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0025_category_sourcedata_category.py", "Python", 33, 0, 0, 1, 6, 40
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0026_remove_sourcedata_category_product_category.py", "Python", 22, 0, 0, 1, 6, 29
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Quan\Documents\Temp\kltn_be\api\models.py", "Python", 54, 0, 0, 9, 18, 81
"c:\Users\Quan\Documents\Temp\kltn_be\api\products.csv", "CSV", 0, 0, 81, 0, 1, 82
"c:\Users\Quan\Documents\Temp\kltn_be\api\scheduler_jobs.py", "Python", 12, 0, 0, 0, 1, 13
"c:\Users\Quan\Documents\Temp\kltn_be\api\serializers.py", "Python", 44, 0, 0, 8, 14, 66
"c:\Users\Quan\Documents\Temp\kltn_be\api\test_crawl.py", "Python", 93, 0, 0, 65, 23, 181
"c:\Users\Quan\Documents\Temp\kltn_be\api\tests.py", "Python", 31, 0, 0, 1, 7, 39
"c:\Users\Quan\Documents\Temp\kltn_be\api\urls.py", "Python", 10, 0, 0, 1, 4, 15
"c:\Users\Quan\Documents\Temp\kltn_be\api\utils.py", "Python", 341, 0, 0, 35, 93, 469
"c:\Users\Quan\Documents\Temp\kltn_be\api\views.py", "Python", 237, 0, 0, 26, 55, 318
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\asgi.py", "Python", 4, 0, 0, 8, 5, 17
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\exceptions.py", "Python", 37, 0, 0, 0, 3, 40
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\models.py", "Python", 11, 0, 0, 12, 8, 31
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\settings.py", "Python", 87, 0, 0, 35, 37, 159
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\urls.py", "Python", 6, 0, 0, 15, 2, 23
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\wsgi.py", "Python", 4, 0, 0, 8, 5, 17
"c:\Users\Quan\Documents\Temp\kltn_be\manage.py", "Python", 15, 0, 0, 3, 5, 23
"c:\Users\Quan\Documents\Temp\kltn_be\requirements.txt", "pip requirements", 0, 339, 0, 0, 0, 339
"Total", "-", 1894, 339, 81, 324, 531, 3169
